Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Assignment)	Level (ProblemSet)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (A6.01-merge-givenXY)	KC Category (A6.01-merge-givenXY)	KC (A6.01-default)	KC Category (A6.01-default)	KC (Single-KC)	KC Category (Single-KC)	School	Class	CF (calculated_offset)	CF (server_adjusted_event_time)	CF (server_adjusted_tool_event_time)	CF (server_adjusted_tutor_event_time)	CF (server_name)	CF (server_time_millis)	CF (step_id)	CF (tool_event_time)	CF (tutor_event_time)
20158	2012transactions	52553b6d9f71bc347c5b4134b83f0cb2	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:40:12	UTC	0	ATTEMPT				Default Assignment	6.28	vegetarian	1	2012-07-13 17:40:12					NtpDate	NtpTimeCheck	2012-07-13 13:40:12.176 -0400																		Admin	Default Class	43				3.north-america.pool.ntp.org	1342201212176		2012/07/13 17:40:12.235 UTC	
20159	2012transactions	e2ab7118c58a9852333e514196c0a8fd	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:40:25	UTC	13	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	1	2012-07-13 17:40:12	radioGroup UpdateRadioButton	1	0	InCorrect	done	ButtonPressed	-1		I'm sorry, but you are not done yet. Please continue working.						Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							15	2012/07/13 17:40:25.986 UTC	2012/07/13 17:40:26.218 UTC
20160	2012transactions	e763a9a8a72c8b3fe3136c904d84d188	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:40:27	UTC	2	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	1	2012-07-13 17:40:12	radioGroup UpdateRadioButton	2	0	InCorrect	done	ButtonPressed	-1		I'm sorry, but you are not done yet. Please continue working.						Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							15	2012/07/13 17:40:27.650 UTC	2012/07/13 17:40:27.804 UTC
20161	2012transactions	66ac947e674c9bc63b58f04f49eef6ad	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:40:31	UTC	4	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	1	2012-07-13 17:40:12	radioGroup UpdateRadioButton	3	0	InCorrect	done	ButtonPressed	-1		I'm sorry, but you are not done yet. Please continue working.						Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							15	2012/07/13 17:40:31.407 UTC	2012/07/13 17:40:31.551 UTC
20162	2012transactions	d2926bb08d3214b3a906059bc5b4de08	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:40:39	UTC	8	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	vegetarian	1	2012-07-13 17:40:12	radioGroup UpdateRadioButton	4	0	Hint	hint_button	ButtonPressed	hint request		Now that you know how many grams of protein are in 50 grams of flour under each option, which flour has more protein content?		1	2			Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							15	2012/07/13 17:40:39.933 UTC	2012/07/13 17:40:39.971 UTC
20163	2012transactions	a1585a49dcb71bf27709b636b63db422	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:40:48	UTC	9	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	1	2012-07-13 17:40:12	radioGroup UpdateRadioButton	5	1	Correct	radioGroup	UpdateRadioButton	option1radio:   Option 1								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							15	2012/07/13 17:40:48.314 UTC	2012/07/13 17:40:48.468 UTC
20164	2012transactions	dc51a0fd5843a5e357c483288126afaf	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:40:49	UTC	1	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	1	2012-07-13 17:40:12	done ButtonPressed	1	1	Correct	done	ButtonPressed	-1																Single-KC		Admin	Default Class							17	2012/07/13 17:40:49.983 UTC	2012/07/13 17:40:50.135 UTC
20165	2012transactions	3dc9c6baf967ffa9096c08cbec2fc88f	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:40:51	UTC	0	ATTEMPT				Default Assignment	6.28	bus ride	1	2012-07-13 17:40:51					NtpDate	NtpTimeCheck	2012-07-13 13:40:51.157 -0400																		Admin	Default Class	59				3.north-america.pool.ntp.org	1342201251157		2012/07/13 17:40:51.231 UTC	
20166	2012transactions	efe1a18be472e1dbc05c5333b434fae6	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:41:02	UTC	11	ATTEMPT		RESULT		Default Assignment	6.28	bus ride	1	2012-07-13 17:40:51	option1end UpdateTextField	1	0	InCorrect	option1end	UpdateTextField	210								Scaling-down-to-a-factor	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							11	2012/07/13 17:41:02.528 UTC	2012/07/13 17:41:02.702 UTC
20167	2012transactions	1a85e197a66267833cc85424f6c37572	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:41:06	UTC	4	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	bus ride	1	2012-07-13 17:40:51	option1end UpdateTextField	2	0	Hint	hint_button	ButtonPressed	hint request		You spend $21 to purchase 30 rides via a bus pass. You want to find how much 10 rides cost with this option.		1	3			Scaling-down-to-a-factor	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							11	2012/07/13 17:41:06.635 UTC	2012/07/13 17:41:06.787 UTC
