Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Assignment)	Level (ProblemSet)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Selection	Action	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Completion History)	CF (step_id)	CF (tool_event_time)	CF (tutor_event_time)
1	All Data	83b4e4692995f69736f43704086aeef6	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:04	America/New_York	11	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	firstNumConv UpdateTextField	1	1	CORRECT	firstNumConv		UpdateTextField		1					Single-KC		KC15		Admin	Peter.S	0,0	[firstNumConv][UpdateTextField]	2016-05-10 15:34:04.687 UTC	2016-05-10 15:34:05.464 UTC
2	All Data	8670cb3ab31315155b84d24dfd779293	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:07	America/New_York	3	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	firstDenConv UpdateTextField	1	1	CORRECT	firstDenConv		UpdateTextField		3					Single-KC		KC13		Admin	Peter.S	0,0	[firstDenConv][UpdateTextField]	2016-05-10 15:34:07.206 UTC	2016-05-10 15:34:07.305 UTC
3	All Data	7fd6398718794c46201050e424034c13	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:11	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	secNumConv UpdateTextField	1	0	INCORRECT	secNumConv		UpdateTextField		22					Single-KC		KC7		Admin	Peter.S	0,0	[secNumConv][UpdateTextField]	2016-05-10 15:34:11.126 UTC	2016-05-10 15:34:11.303 UTC
4	All Data	94e7cef1b85c4cc2e194746c980f8fa3	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:14	America/New_York	3	HINT_REQUEST		HINT_MSG		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	secDenConv UpdateTextField	1	0	HINT	hint	secDenConv	ButtonPressed	PreviousFocus	hint request	Enter  3  in the highlighted field		1	1	Single-KC		KC6		Admin	Peter.S	0,0	[secDenConv][UpdateTextField]	2016-05-10 15:34:14.292 UTC	2016-05-10 15:34:14.436 UTC
5	All Data	fe6df76f569c1929e62d65728b2b740e	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:20	America/New_York	6	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	secNumConv UpdateTextField	2	1	CORRECT	secNumConv		UpdateTextField		2					Single-KC		KC7		Admin	Peter.S	0,0	[secNumConv][UpdateTextField]	2016-05-10 15:34:20.408 UTC	2016-05-10 15:34:20.532 UTC
6	All Data	f7f7ec777dee62f7c72dc5d48840d331	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:23	America/New_York	3	HINT_REQUEST		HINT_MSG		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	secDenConv UpdateTextField	2	0	HINT	hint	secDenConv	ButtonPressed	PreviousFocus	hint request	Enter  3  in the highlighted field		1	1	Single-KC		KC6		Admin	Peter.S	0,0	[secDenConv][UpdateTextField]	2016-05-10 15:34:23.305 UTC	2016-05-10 15:34:23.403 UTC
7	All Data	422364f1859b52c9ba572772c6ff75a9	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:25	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	secDenConv UpdateTextField	3	1	CORRECT	secDenConv		UpdateTextField		3					Single-KC		KC6		Admin	Peter.S	0,0	[secDenConv][UpdateTextField]	2016-05-10 15:34:25.247 UTC	2016-05-10 15:34:25.953 UTC
8	All Data	5b4754f5be775028303e4ef242305f51	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:27	America/New_York	2	HINT_REQUEST		HINT_MSG		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	ansNum1 UpdateTextField	1	0	HINT	ansNum1	hint	ButtonPressed	PreviousFocus	hint request	You have two fractions with the same denominator. You can add the numerators to find the numerator of the sum fraction.		1	3	Single-KC		KC4		Admin	Peter.S	0,0	[ansNum1][UpdateTextField]	2016-05-10 15:34:27.579 UTC	2016-05-10 15:34:27.720 UTC
9	All Data	d1f08b4488572877cd8b453c8a3644a2	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:41	America/New_York	14	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	ansNum1 UpdateTextField	2	1	CORRECT	ansNum1		UpdateTextField		3					Single-KC		KC4		Admin	Peter.S	0,0	[ansNum1][UpdateTextField]	2016-05-10 15:34:41.144 UTC	2016-05-10 15:34:41.245 UTC
10	All Data	b5b82a5489e51d093b64a662cce531cc	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:43	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	ansDen1 UpdateTextField	1	1	CORRECT	ansDen1		UpdateTextField		3					Single-KC		KC2		Admin	Peter.S	0,0	[ansDen1][UpdateTextField]	2016-05-10 15:34:43.508 UTC	2016-05-10 15:34:43.608 UTC
