Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Assignment)	Level (ProblemSet)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (act)	CF (curEqAbstr)	CF (knowledge-trace)	CF (orig_stu_id)	CF (orig_time)	CF (orig_trans_id)	CF (pKnowValues)	CF (postEqStu)	CF (postEqSys)	CF (preEqProps)	CF (preEqStu)	CF (preEqSys)	CF (prevRowEqAbstr)	CF (step_id)	CF (tool_event_time)	CF (transf)	CF (transfProps)	CF (tutor_event_time)
1	All Data	59c0d86cb8cb40f776a6df0d4f528db9	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:09:56	US/Eastern	0	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveRight1 UpdateTextField	1	0	InCorrect	solveRight1	UpdateTextField	8					Add/subtract_constant_from_both_sides	LDashb									Single-KC		KC20		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.27	Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:06:53.407 CEST	eb441a6ac8ba33241893c239d81684e0	nil	nil	nil	nil	nil	nil	nil	[solveRight1][UpdateTextField]	2016-06-01 12:09:56.621 UTC	nil	nil	2016-06-01 12:09:58.664 UTC
2	All Data	8ea8bedd1ee6567cc29c55cd23836691	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:09:58	US/Eastern	2	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveLeft1 UpdateTextField	1	0	InCorrect	done	ButtonPressed	-1					Add/subtract_constant_from_both_sides	LDashb									Single-KC		KC95		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:06:53.489 CEST	1c3bb15f4789f61c062eb51ec7f3f248	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-01 12:09:58.667 UTC	nil	nil	2016-06-01 12:09:59.839 UTC
3	All Data	634a8160da5858521a736902a44a7646	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:09:59	US/Eastern	1	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveRight1 UpdateTextField	2	0	Correct	solveRight1	UpdateTextField	2					Add/subtract_constant_from_both_sides	LDashb	Combine_constant_terms	LDashb							Single-KC		KC20		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	write-right	nil	Add/subtrac..._both_sides,LDashb,0.25;Combine_constant_terms,LDashb,0.66	Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:07:09.370 CEST	55e8449d7b9fccf5f742b38a2a233109	nil	_____ = 2	x + 3 - 3 = 2	1|0|1|1|0|0|0|0|0|0|0|0	_____ = _____	x + 3 = 5	nil	[solveRight1][UpdateTextField]	2016-06-01 12:09:59.846 UTC	add -3 both	c|+|r|1	2016-06-01 12:10:00.042 UTC
4	All Data	60abaa1355f55cab20599b6544804fbb	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:10:00	US/Eastern	1	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveLeft1 UpdateTextField	2	0	InCorrect	done	ButtonPressed	-1					MAIN::focus-left		MAIN::record-pre-state		MAIN::write-intermediate-left						Single-KC		KC95		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil		Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:07:09.488 CEST	7e9aad03f12f553bb612ddff8ceb40ec	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-01 12:10:00.066 UTC	nil	nil	2016-06-01 12:10:01.007 UTC
5	All Data	738730e5f403afd986bf056b2d49889d	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:10:01	US/Eastern	0.333	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveLeft1 UpdateTextField	3	0	InCorrect	solveRight1	UpdateTextField	-2					MAIN::focus-left		MAIN::record-pre-state		MAIN::write-intermediate-left						Single-KC		KC95		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil		Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:08:12.434 CEST	e5c21423f517ff53319fcd773efab5ce	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-01 12:10:01.900 UTC	nil	nil	2016-06-01 12:10:02.322 UTC
6	All Data	729773e7c1cc079654694a992d9dcca9	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:10:01	US/Eastern	0.333	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveLeft1 UpdateTextField	4	0	InCorrect	solveRight1	UpdateTextField	0					MAIN::focus-left		MAIN::record-pre-state		MAIN::write-intermediate-left						Single-KC		KC95		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil		Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:08:07.983 CEST	7c8f8a9590caba0c2fd3dbe3b012f8b3	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-01 12:10:01.489 UTC	nil	nil	2016-06-01 12:10:01.813 UTC
7	All Data	d28612406b3d73923cf078d797295cb4	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:10:01	US/Eastern	0.333	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveLeft1 UpdateTextField	5	0	InCorrect	solveLeft1	UpdateTextField	x+2-2					MAIN::focus-left		MAIN::record-pre-state		MAIN::write-intermediate-left						Single-KC		KC95		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil		Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:07:41.170 CEST	7049e62c02b27bbac15fbe11c50444b9	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-01 12:10:01.060 UTC	nil	nil	2016-06-01 12:10:01.478 UTC
8	All Data	5cf5237dcaff587df2c5ba56e8b0b10c	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:10:02	US/Eastern	0.5	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveLeft1 UpdateTextField	6	0	InCorrect	solveRight2	UpdateTextField	-2					MAIN::focus-left		MAIN::record-pre-state		MAIN::write-intermediate-left						Single-KC		KC95		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil		Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:08:23.823 CEST	60f002fe94380c7bb237a526c054e336	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-01 12:10:02.780 UTC	nil	nil	2016-06-01 12:10:03.106 UTC
9	All Data	466d18075ac0d65ff0a4d66d30082ba7	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:10:02	US/Eastern	0.5	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveLeft1 UpdateTextField	7	0	InCorrect	solveLeft2	UpdateTextField	x					MAIN::focus-left		MAIN::record-pre-state		MAIN::write-intermediate-left						Single-KC		KC95		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil		Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:08:16.991 CEST	54c01280445fb4709e5ea97ab2384f5a	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-01 12:10:02.323 UTC	nil	nil	2016-06-01 12:10:02.774 UTC
10	All Data	34b80467ec6112d162177e3db9555f8c	Stu_05d7bd392f5e0fed7e3a6230146d4632	S92abb256ddc60a7a0bdea9d0671c0b68	2016-06-01 08:10:03	US/Eastern	0.333	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	x 3=5	1	2016-06-01 08:09:56	solveLeft1 UpdateTextField	8	0	InCorrect	done	ButtonPressed	-1					MAIN::focus-left		MAIN::record-pre-state		MAIN::write-intermediate-left						Single-KC		KC95		Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil		Stu_fba3a41d2233274eb1d5fe48073abd3f	2016-05-04 16:08:50.535 CEST	c7b031a9741a5754d333bb0fb88303df	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-01 12:10:03.834 UTC	nil	nil	2016-06-01 12:10:04.379 UTC
