Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Assignment)	Level (ProblemSet)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Completion History)	CF (act)	CF (knowledge-trace)	CF (pKnowValues)	CF (postEqStu)	CF (postEqSys)	CF (preEqProps)	CF (preEqStu)	CF (preEqSys)	CF (step_id)	CF (tool_event_time)	CF (transf)	CF (transfProps)	CF (tutor_event_time)
1	All Data	1d9c548c9b6d54d097dd346631a9b2fe	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:32:49	America/New_York	26	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	solveLeft1 UpdateTextField	1	1	CORRECT	solveLeft1	UpdateTextField	12x+7-7					Add/subtract_constant_from_both_sides	LDashb_Test			Single-KC		KC902		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	write-intermediate-left	Add/subtrac..._both_sides,LDashb_Test,1.00;Add/subtrac..._both_sides,LDashb_Test,1.00;Add/subtrac..._both_sides,LDashb_Test,1.00;Add/subtrac..._both_sides,LDashb_Test,1.00;Add/subtrac..._both_sides,LDashb_Test,1.00;Add/subtrac..._both_sides,LDashb_Test,1.00;Add/subtrac..._both_sides,LDashb_Test,1.00	nil	12x+7-7 = _____	12x + 7 - 7 = 6x + 13 - 7	1|1|1|1|0|0|0|0|0|0|0|0	_____ = _____	12x + 7 = 6x + 13	[solveLeft1][UpdateTextField]	2016-05-04 14:32:49.933 UTC	add -7 both	c|+|r|1	2016-05-04 14:32:50.120 UTC
2	All Data	82a5943b3fd5eaec9cfebca68a5cf15d	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:33:21	America/New_York	32	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	solveRight1 UpdateTextField	1	1	CORRECT	solveRight1	UpdateTextField	6x+13-7									Single-KC		KC692		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	write-intermediate-right		nil	12x+7-7 = 6x+13-7	12x + 7 - 7 = 6x + 13 - 7	1|1|1|1|0|0|0|0|0|0|1|1	12x+7-7 = _____	12x + 7 - 7 = 6x + 13 - 7	[solveRight1][UpdateTextField]	2016-05-04 14:33:21.719 UTC	add -7 both	c|+|r|1	2016-05-04 14:33:21.898 UTC
3	All Data	250cae7831e3784be10089c0f96443e5	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:33:26	America/New_York	5	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	postExplOp1 UpdateComboBox	1	0	INCORRECT	solveLeft2	UpdateTextField	12x									Single-KC		KC720		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	nil		nil	nil	nil	nil	nil	nil	[postExplOp1][UpdateComboBox]	2016-05-04 14:33:26.656 UTC	nil	nil	2016-05-04 14:33:26.856 UTC
4	All Data	7da8dc336aa66fcb84999a3627d31f19	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:34:11	America/New_York	45	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	postExplOp1 UpdateComboBox	2	0	INCORRECT	solveRight2	UpdateTextField	6x+6-6x									Single-KC		KC720		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	nil		nil	nil	nil	nil	nil	nil	[postExplOp1][UpdateComboBox]	2016-05-04 14:34:11.194 UTC	nil	nil	2016-05-04 14:34:11.422 UTC
5	All Data	110d929695bc8508607015014b756758	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:34:19	America/New_York	8	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	postExplOp1 UpdateComboBox	3	0	INCORRECT	solveLeft3	UpdateTextField	12x-6x									Single-KC		KC720		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	nil		nil	nil	nil	nil	nil	nil	[postExplOp1][UpdateComboBox]	2016-05-04 14:34:19.872 UTC	nil	nil	2016-05-04 14:34:20.73 UTC
6	All Data	ff0e6858f52b402b76cb38c7d61d2329	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:34:24	America/New_York	5	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	postExplOp1 UpdateComboBox	4	0	INCORRECT	solveLeft4	UpdateTextField	6x									Single-KC		KC720		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	nil		nil	nil	nil	nil	nil	nil	[postExplOp1][UpdateComboBox]	2016-05-04 14:34:24.512 UTC	nil	nil	2016-05-04 14:34:24.750 UTC
7	All Data	8ac028925601f6943950da231688264b	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:34:29	America/New_York	5	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	postExplOp1 UpdateComboBox	5	0	INCORRECT	solveRight3	UpdateTextField	6									Single-KC		KC720		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	nil		nil	nil	nil	nil	nil	nil	[postExplOp1][UpdateComboBox]	2016-05-04 14:34:29.588 UTC	nil	nil	2016-05-04 14:34:29.788 UTC
8	All Data	8e9da2b45551511b8467eefccb907c59	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:34:33	America/New_York	4	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	postExplOp1 UpdateComboBox	6	0	INCORRECT	solveRight4	UpdateTextField	6									Single-KC		KC720		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	nil		nil	nil	nil	nil	nil	nil	[postExplOp1][UpdateComboBox]	2016-05-04 14:34:33.787 UTC	nil	nil	2016-05-04 14:34:34.116 UTC
9	All Data	e62523ebbfc69aa99caa27825b4a1bbf	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:34:38	America/New_York	5	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	postExplOp1 UpdateComboBox	7	0	INCORRECT	solveLeft5	UpdateTextField	x									Single-KC		KC720		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	nil		nil	nil	nil	nil	nil	nil	[postExplOp1][UpdateComboBox]	2016-05-04 14:34:38.806 UTC	nil	nil	2016-05-04 14:34:39.7 UTC
10	All Data	dc0697ebcee1e135ad87fb006876ad15	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:34:43	America/New_York	5	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	postExplOp1 UpdateComboBox	8	0	INCORRECT	solveRight5	UpdateTextField	1									Single-KC		KC720		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	nil		nil	nil	nil	nil	nil	nil	[postExplOp1][UpdateComboBox]	2016-05-04 14:34:43.268 UTC	nil	nil	2016-05-04 14:34:43.443 UTC
11	All Data	53a2ceb7341d7cb3ae12c9c4c6f5b83b	Stu_2cc0a7f78696915b51f36bc0c45835d3	S79a5570bccd0408df28ecd0e68448a96	2016-05-04 10:34:45	America/New_York	2	ATTEMPT		RESULT		ShowWhatYouAlreadyKnow_Yellow	ProblemSetDashboardTest_3	12x 7=6x 13	1	2016-05-04 10:32:23	postExplOp1 UpdateComboBox	9	1	INCORRECT	done	ButtonPressed	-1	You are not done yet with this problem. You need to have x by itself.								Single-KC		KC720		Hopewell_2016_Dashboard_Study	Mr.Mawhinney_period4	0,0,0,0,0,0,0,0,0	nil		nil	nil	nil	nil	nil	nil	[postExplOp1][UpdateComboBox]	2016-05-04 14:34:45.523 UTC	nil	nil	2016-05-04 14:34:45.778 UTC
