Response	Times Correct	Times Incorrect	Total Appearances
x=____	2837	512	3349
a=____	832	412	1244
x=c	1055	63	1118
c=____	901	136	1037
____=x	500	333	833
c=x	782	26	808
-x=____	595	113	708
b=____	521	113	634
ax/a=____	577	21	598
ax=____	496	93	589
x=-a	547	42	589
a-b=____	469	70	539
x+a-a=____	487	7	494
____=c	320	145	465
ax/a=b/a	452	2	454
a=x	372	73	445
b=x	397	40	437
x=a	352	83	435
x=b	303	104	407
-a=____	293	110	403
-x=c	321	82	403
-a=x	372	15	387
a/b=bx/b	361	0	361
-c=-x	352	7	359
-c=____	306	38	344
a/b=____	313	14	327
x=-b	254	40	294
-x/-b=____	287	4	291
c=-x	259	31	290
____=-x	247	40	287
x=0	233	48	281
-x=-c	210	59	269
x=-c	213	28	241
____=b	145	96	241
d=____	161	60	221
bx=____	180	25	205
-b=____	141	57	198
x+a-a=b-a	197	0	197
a-b=b-b-x	172	2	174
-x+a-a=____	173	0	173
x+a-a=0-a	168	2	170
ax=d	168	0	168
-x+a-a=b-a	167	0	167
a/-b=-x/-b	162	0	162
a/-b=____	151	9	160
-x/-b=-a/-b	153	4	157
ax+b-b=____	154	0	154
d=cx	151	1	152
dx=____	130	20	150
ax=c	118	23	141
____=-c	103	35	138
dx=c	128	7	135
-x/-b=a/-b	135	0	135
-x=-b	121	11	132
____=bx/b	127	4	131
____=a	64	66	130
a-b=-x+b-b	127	0	127
b=-x	120	5	125
-a/-b=____	111	8	119
x+a-a=a-a	113	5	118
____=-a	87	28	115
ax-bx=____	110	0	110
a-a-x=____	106	3	109
a+b=____	60	48	108
ax+b-b=c-b	108	0	108
ax-b+b=____	104	3	107
a-b=b+x-b	107	0	107
a-a-x=b-a	106	0	106
bx=d	84	14	98
a-b=b-b+x	90	6	96
-a/-b=-x/-b	94	0	94
____=d	59	33	92
____=-b	56	34	90
-c=x	23	67	90
ax-bx=bx+c-bx	89	0	89
a=b	0	87	87
a-x-a=b-a	87	0	87
a-x-a=____	84	2	86
a-b=-x	84	1	85
a=b+x	79	6	85
____=bx	54	29	83
-x=b-a	83	0	83
a-b=b-x-b	81	0	81
____=-x+b-b	80	0	80
c=bx	78	0	78
ax=a	67	9	76
-b=x	64	11	75
____=0	33	42	75
x=b-a	63	11	74
a-b=x	55	19	74
x+a=____	5	66	71
x=b/a	70	0	70
a-c=bx+c-c	69	0	69
a-c=____	55	14	69
____=b+x-b	67	1	68
____=cx	47	20	67
dx+a=c	67	0	67
ax/a=-b/a	66	1	67
a/b=x	65	1	66
a-x=____	14	50	64
____=-x/-b	62	1	63
a+x=b	60	2	62
dx+a=____	59	1	60
ax/a=a/a	58	1	59
0=____	15	43	58
____=b-x-b	58	0	58
____=b-a	48	9	57
ax+b-ax=cx-ax	56	0	56
ax+b-ax=____	52	1	53
-a+bx+a=____	53	0	53
-a/-a=____	49	1	50
a+x=____	34	16	50
bx=c	44	2	46
a=b-x	34	11	45
____=bx+c-bx	45	0	45
b=dx	44	1	45
a-a=____	1	42	43
a-x=b	37	5	42
ax-b=____	22	20	42
____=-d	33	9	42
-a/-a=-x/-a	42	0	42
a=bx+d	35	6	41
-x=b	12	29	41
ax-b-ax=cx-ax	40	1	41
cx=____	28	12	40
ax-b-ax=____	38	2	40
-b=-dx	38	1	39
ax=-d	28	11	39
a=cx	33	6	39
b-a=____	3	36	39
ax+a=____	34	5	39
____=bx+c-c	38	0	38
a=-x	20	17	37
ax-e+c=____	37	0	37
a=b+cx-d	30	7	37
-a+bx+a=c+a	35	0	35
-e+bx=-d	35	0	35
ax+a=c	35	0	35
e=____	17	17	34
ax-b+b=c+b	32	2	34
x=a-b	13	21	34
x=0-a	34	0	34
a=-e+cx	33	0	33
bx=b	32	0	32
ax-c=____	28	4	32
-e+bx=____	31	1	32
x-a=____	0	32	32
a-b=b-b	0	32	32
b=bx	29	2	31
a/-b=x	29	2	31
ax=b	22	8	30
dx=-c	23	7	30
____=b/a	29	1	30
a/a=____	13	17	30
-a/-b=-bx/-b	29	0	29
a=bx-b	28	0	28
a=-d+cx	28	0	28
a+dx-b=c	28	0	28
-c=cx	26	2	28
b=cx	28	0	28
a=bx	8	20	28
a=dx+b	27	0	27
a=-b+cx-c	27	0	27
-b=-bx	27	0	27
a-a+x=____	20	7	27
d=bx	11	16	27
d+bx=____	25	2	27
-a/-b=x	27	0	27
a+bx=____	20	6	26
dx-e=____	24	2	26
-b=ax	26	0	26
-a/b=____	16	9	25
ax=cx-b	24	1	25
ax=-b	23	2	25
____=bx-c+c	24	1	25
dx-e=a	25	0	25
____=dx	15	10	25
____=b-x+b	0	24	24
a+bx-a=____	21	3	24
x=a-a	21	3	24
ax=cx+b	23	1	24
ax-bx=bx-bx+c	24	0	24
a+c=____	18	6	24
____=b-b-x	23	1	24
ax-a+a=____	22	2	24
a=b+cx-e	24	0	24
x=a/-b	22	2	24
ax-ax-b=cx-ax	24	0	24
-d+ax=____	23	0	23
-d+dx=c	23	0	23
a+dx-b=____	23	0	23
-a=-x	10	13	23
-x/-a=____	12	11	23
a-x+a=____	0	23	23
a+b=-b+cx+b	23	0	23
-x=-a	17	6	23
-d+ax=c	23	0	23
a+b=bx-b+b	22	0	22
x+a-a=0	3	19	22
a+c=bx-c+c	22	0	22
-a+bx=____	19	3	22
-e+fx=____	20	2	22
a(ax)+a(b)=c	22	0	22
ax-b=cx	21	1	22
ax-e+c=d	22	0	22
a+x-a=____	18	4	22
d+bx=c	21	0	21
-e+fx=d	21	0	21
a=cx-e	20	1	21
-d+dx=____	20	1	21
ax-a=____	11	10	21
ax-ax-b=____	20	1	21
ax+a-a=____	21	0	21
-ax=____	6	14	20
ax+b-b=0-b	20	0	20
____=b-b+x	14	6	20
____=b+x	3	17	20
ax-c=bx+c-c	20	0	20
a+bx+d=____	20	0	20
x-b=____	8	12	20
-x=a-b	0	20	20
ax-bx=bx-c-bx	17	2	19
c=dx	17	2	19
ax+a-a=b-a	19	0	19
____=bx+d	18	1	19
a+x-a=b-a	18	0	18
-a+ax+a=____	18	0	18
-a+bx=d	18	0	18
a(ax)+a(b)=____	18	0	18
-ax/-a=____	18	0	18
-a+a+bx=____	18	0	18
____=-b+cx-c	16	2	18
bx=-d	10	8	18
a+bx+d=c	18	0	18
____=cx-ax	18	0	18
ax-b+b=-c+b	18	0	18
ax-bx=c	17	1	18
-a/a=____	14	4	18
-a+bx+a=-c+a	18	0	18
	0	17	17
b=b	0	17	17
a=a	0	17	17
-a+ax+a=b+a	17	0	17
-e+ax-c=-d	17	0	17
-dx=____	10	7	17
ax+b=____	8	9	17
ax-b-cx=____	15	2	17
a=b+bx	16	1	17
-cx=____	14	3	17
ax=c-b	14	3	17
a=fx-g+e	17	0	17
ax-b+b=cx+b	17	0	17
ax-b-cx=cx-cx	17	0	17
ax+b-b=cx-b	17	0	17
____=b-b	0	16	16
x+a-x=____	16	0	16
a=0	0	16	16
____=bx-b	14	2	16
a=e+cx	2	14	16
a/ax=____	14	2	16
____=ax	9	7	16
a-a+bx=____	16	0	16
ax=-a	12	4	16
____=a-b	0	16	16
a=b(x)+b(c)	16	0	16
____=e	7	9	16
-x/b=____	0	16	16
____=-e	8	8	16
a=ex+e-d	16	0	16
ax-e=____	11	5	16
a+bx-e=____	16	0	16
x=x	0	15	15
____=b+cx-d	14	1	15
____=-	0	15	15
ax-a+a=b+a	15	0	15
ax-c=a	15	0	15
-=____	0	15	15
-b=cx-ax	15	0	15
-e+ax-c=____	15	0	15
a=b+c(x)+c(-d)	15	0	15
x+a-x=bx-x	15	0	15
a+ax+c=-d	15	0	15
ax-e+c=-d	15	0	15
-x+a=____	1	14	15
a(bx)+a(-c)=a	15	0	15
b=cx-ax	14	1	15
dx-b=____	9	5	14
____=b-x	11	3	14
a=bx+e	14	0	14
-a/b=bx/b	14	0	14
a=dx	8	6	14
-d=____	3	11	14
c=d	0	14	14
a-a+x=b-a	14	0	14
+a=____	0	14	14
-a/-a=-ax/-a	14	0	14
a+bx=e	12	2	14
-a/a=ax/a	14	0	14
-b+bx=d	12	2	14
a+bx-a=c-a	13	0	13
ax-b+b=a+b	13	0	13
ax-b+b=b+b	12	1	13
____=-b+cx+b	12	1	13
-b+bx=____	11	2	13
dx+b=____	7	6	13
a/ax=b/a	13	0	13
a+ax+c=____	13	0	13
0=x	4	9	13
-a+bx-e=-d	13	0	13
-a+a=____	0	13	13
-x/-b=a	4	9	13
a-b=b	0	13	13
a+b=cx	12	0	12
