Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Assignment)	Level (ProblemSet)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (act)	CF (curEqAbstr)	CF (knowledge-trace)	CF (orig_stu_id)	CF (orig_time)	CF (orig_trans_id)	CF (pKnowValues)	CF (postEqStu)	CF (postEqSys)	CF (preEqProps)	CF (preEqStu)	CF (preEqSys)	CF (prevRowEqAbstr)	CF (step_id)	CF (tool_event_time)	CF (transf)	CF (transfProps)	CF (tutor_event_time)
1	All Data	c38e586409e2af64299e8aae37f771f7	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:45:58	US/Eastern	0	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveRight1 UpdateTextField	1	0	InCorrect	solveRight1	UpdateTextField	-4					Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.27	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:53:04.791 CEST	606deff3505b2628f3c637647c1cd565	nil	nil	nil	nil	nil	nil	nil	[solveRight1][UpdateTextField]	2016-06-09 12:45:58.814 UTC	nil	nil	2016-06-09 12:46:10.682 UTC
2	All Data	b754506f3935693a0a47351b28394bc3	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:46:10	US/Eastern	12	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveLeft1 UpdateTextField	1	0	InCorrect	solveLeft1	UpdateTextField	-4					Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:53:07.816 CEST	fcb0473f81390c1db84440f8e438802e	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-09 12:46:10.684 UTC	nil	nil	2016-06-09 12:46:17.580 UTC
3	All Data	ee57d6fcf2aacfb9b8601dacbc74f24f	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:46:17	US/Eastern	7	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveLeft1 UpdateTextField	2	0	InCorrect	solveLeft1	UpdateTextField	-9					Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:53:19.183 CEST	b920aa13f3461e317bcc785fa20e122d	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-09 12:46:17.737 UTC	nil	nil	2016-06-09 12:46:22.621 UTC
4	All Data	ff8839636e86e01cbe2f14b4a64e25e8	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:46:24	US/Eastern	7	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveLeft1 UpdateTextField	3	0	InCorrect	solveLeft1	UpdateTextField	+4					Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:53:37.313 CEST	92d86d9f78735f97c4e9fc84b45c58fc	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-09 12:46:24.065 UTC	nil	nil	2016-06-09 12:46:34.007 UTC
5	All Data	bf1bdc1eb8a81fa098f4116194f5bfd8	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:46:34	US/Eastern	10	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveLeft1 UpdateTextField	4	0	InCorrect	solveLeft1	UpdateTextField	9	Bug!!! Name: bug-combine-unlike-terms-make-constant				Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:54:06.360 CEST	bf66ffc195bd5079e8a22d4560f93e32	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-09 12:46:34.747 UTC	nil	nil	2016-06-09 12:46:41.307 UTC
6	All Data	e9f01fa5e8ba9e01ebdeba9ab8a8e3e3	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:46:41	US/Eastern	7	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveLeft1 UpdateTextField	5	0	InCorrect	solveLeft1	UpdateTextField	1					Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:54:12.893 CEST	6d83b617236b1fe5c52f65226a39ed93	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-09 12:46:41.753 UTC	nil	nil	2016-06-09 12:46:51.145 UTC
7	All Data	0ebcf0f718e36a674ded62b67e4b2f7c	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:46:51	US/Eastern	10	HINT_REQUEST		HINT_MSG	Hint	Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveLeft1 UpdateTextField	6	0	Hint	hint	ButtonPressed	-1	You have constants on both sides: 9 on the left and 4 on the right. How can you have all constants on the left and no constants on the right?		1	4	Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:54:47.334 CEST	1f2499704fa9652444d4d23d84927efb	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-09 12:46:51.252 UTC	nil	nil	2016-06-09 12:46:55.987 UTC
8	All Data	19e5af067e9a24337253fb6eeef966d5	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:46:56	US/Eastern	5	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveLeft1 UpdateTextField	7	0	InCorrect	solveLeft1	UpdateTextField	+4					Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:55:10.822 CEST	72675a24df550c5ae590deeea5f8ad98	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-09 12:46:56.083 UTC	nil	nil	2016-06-09 12:47:01.807 UTC
9	All Data	19caaf73025a24b2d889d7d9a1ad83c1	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:47:01	US/Eastern	5	ATTEMPT		RESULT		Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveLeft1 UpdateTextField	8	0	InCorrect	solveLeft1	UpdateTextField	4					Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:55:18.933 CEST	0108e591ac3853c2e0867cd638dd7b02	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-09 12:47:01.812 UTC	nil	nil	2016-06-09 12:47:15.714 UTC
10	All Data	2fea60e260d6183e39aed0ec9c0a5b77	Stu_12af968e2e67bb6abda5adf0d729f660	Sb32e93729c4919c526c4536ee477c88e	2016-06-09 08:47:15	US/Eastern	14	HINT_REQUEST		HINT_MSG	Hint	Lynnette Tutor	ProblemSetDashboard_1	9=4 x	1	2016-06-09 08:45:58	solveLeft1 UpdateTextField	9	0	Hint	hint	ButtonPressed	-1	You have constants on both sides: 9 on the left and 4 on the right. How can you have all constants on the left and no constants on the right?		1	4	Add/subtract_constant_from_both_sides	LDashb									Single-KC				Hopewell_2016_Dashboard_Study	Mr.Gill_period3	nil	nil	Add/subtrac..._both_sides,LDashb,0.25	Stu_8c5c693429a65e067f8a60df7f0a2da0	2016-05-04 15:55:26.310 CEST	f5aaaff9e02346ee063c4264ce12aaf3	nil	nil	nil	nil	nil	nil	nil	[solveLeft1][UpdateTextField]	2016-06-09 12:47:15.730 UTC	nil	nil	2016-06-09 12:47:26.464 UTC
